time,open,high,low,close,fast_stoch,slow_stoch,rsi,30_sent,thirty_trend,4h_sent,four_trend,candle_dir,dt_signal,sent_signal,simple_result,running_result,profit
2020-06-10 10:30:00,136.78,137.124,136.75,137.09799999999998,32.67306697843956,21.893059144376693,51.57057463964156,0.0041191399111872576,bearish,-0.18728019774966093,bearish,long,long,long_trade,win,win,0.17
2020-06-11 00:00:00,136.019,136.296,136.01,136.296,11.125503008395953,5.567832761047481,38.91277184546578,-0.04812988552999345,bearish,-0.2315014239269768,bearish,long,long,long_trade,running_long,win,0.07
2020-06-11 04:30:00,135.724,135.961,135.688,135.81,20.419542684982623,17.191805397653663,31.802272977299037,-0.055045930134200484,bearish,-0.2565131839597776,bearish,long,long,long_trade,loss,no_runner,-0.14200000000002433
2020-06-11 05:30:00,135.75799999999998,135.827,135.704,135.77200000000002,29.9899812329483,25.799763209610337,31.396338964025716,-0.055080266868875294,bearish,-0.2781983443195368,bearish,long,long,long_trade,loss,no_runner,-0.08800000000002228
2020-06-11 08:00:00,135.608,135.858,135.50799999999998,135.692,30.82471438248509,29.646314534195977,33.67875777069341,-0.04543853125852715,bearish,-0.2781983443195368,bearish,long,long,long_trade,win,win,0.17
2020-06-11 09:00:00,135.649,135.764,135.59,135.731,35.909541537544385,32.64554376558393,36.94629747942689,-0.03635418159267678,bearish,-0.3058399598015865,bearish,long,long,long_trade,win,loss,0.07
2020-06-11 13:00:00,135.156,135.408,135.122,135.314,17.378917378917038,21.06942521701762,31.988051049582978,-0.028960432474311463,bearish,-0.3366882160342636,bearish,long,long,long_trade,loss,no_runner,-0.21199999999998909
2020-06-11 15:00:00,134.866,134.994,134.734,134.884,12.7374497625131,15.849850068231287,24.201853495449754,-0.04573810088019753,bearish,-0.3366882160342636,bearish,long,long,long_trade,loss,no_runner,-0.1699999999999875
2020-06-11 16:30:00,134.671,134.77100000000002,134.57399999999998,134.695,8.808303933075862,10.0614176240924,22.200287226181487,-0.05742718915743528,bearish,-0.3366882160342636,bearish,long,long,long_trade,loss,no_runner,-0.14100000000001955
2020-06-11 17:30:00,134.572,134.78799999999998,134.47,134.718,10.386033392440119,8.473310465763392,28.22159880301723,-0.057015538208647236,bearish,-0.35755690250034144,bearish,long,long,long_trade,win,win,0.17
2020-06-11 19:00:00,134.518,134.672,134.496,134.579,15.148006485607429,16.687292819334505,30.175440098130412,-0.04830085455991079,bearish,-0.35755690250034144,bearish,long,long,long_trade,sig_stop,no_runner,-0.016999999999995907
2020-06-11 20:00:00,134.562,134.651,134.556,134.584,11.396479048405926,11.639113608636821,30.913152475843287,-0.04069906593730754,bearish,-0.35755690250034144,bearish,long,long,long_trade,loss,no_runner,-0.04800000000000182
2020-06-11 22:30:00,134.165,134.411,134.16,134.411,19.42726240352059,17.823209773034307,35.063266077215545,-0.026282572043740404,bearish,-0.38954110035322187,bearish,long,long,long_trade,sig_stop,no_runner,-0.12300000000001887
2020-06-11 23:30:00,134.28799999999998,134.446,134.268,134.292,27.48772869254817,22.84224452475133,32.77692584249266,-0.023746753127591447,bearish,-0.38954110035322187,bearish,long,long,long_trade,loss,no_runner,-0.04400000000001114
