time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,VWMA,VWAP,VWMA 20,VWMA 50,VWMA 200,SMA 20,SMA 50,SMA 200,S/R,SR,%K,%D,RSI
1543284000,145.29,145.514,145.278,145.424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,75.48666186012956,76.09728609311509,56.21448008707147
1543298400,145.424,145.448,144.604,144.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.898,144.75,60.778658976207545,70.04832137685868,45.76587280856327
1543312800,144.886,145.124,144.688,145.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,144.75,56.2124489305455,64.1592565889599,49.7655764362852
1543327200,145.1,145.178,144.736,144.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,144.75,43.52319154049456,53.5047664824149,46.26298197373334
1543341600,144.896,145.068,144.789,145.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,144.75,46.839701994712414,48.85844748858319,48.70259369001855
1543356000,145.024,145.064,144.864,144.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,144.75,40.83237578106229,43.73175643875546,46.82463696950574
1543370400,144.919,145.186,144.902,145.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,144.75,44.13606880357292,43.93604885978158,51.45184130863305
1543384800,145.16,145.281,144.96,145.164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,144.75,44.48053728070121,43.14966062177785,51.527234763110975
1543399200,145.164,145.699,145.161,145.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,144.75,61.57894736841998,50.06518448423041,58.91390762904225
1543413600,145.594,145.691,145.244,145.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,145.608,74.26900584795222,60.10949683235683,58.91390762904225
1543428000,145.594,145.84,145.518,145.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,145.608,89.717822063248,75.18859175987242,61.88998807816747
1543442400,145.784,145.804,145.501,145.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,145.608,86.74132742860338,83.57605177993356,56.827123423068464
1543456800,145.567,145.617,145.373,145.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,145.608,78.99137001078667,85.15017316754505,53.01740726513447
1543471200,145.39,145.48,144.522,144.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.902,145.608,53.693322725910775,73.14200672176598,42.45414041404309
1543485600,144.78,144.842,144.599,144.702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.978,145.608,32.274800988061514,54.98649790825201,41.32045054654843
1543500000,144.702,145.116,144.574,144.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,23.115832068791303,36.361318594253554,47.09421626017666
1543514400,144.998,145.116,144.884,145.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,31.613555892767266,29.001396316539058,49.2384979196814
1543528800,145.116,145.124,144.794,144.908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,36.82346990389491,30.51761928848352,45.72080023622033
1543543200,144.908,145.01,144.866,144.934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,35.204855842185445,34.547293879614905,46.23784138896101
1543557600,144.934,145.292,144.85,144.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,28.831562974203468,33.6199629067603,44.995140350756756
1543572000,144.864,144.942,144.64,144.815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,26.47951441578191,30.171977744055965,44.101616111856046
1543586400,144.815,145.093,144.662,144.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,26.58067779463853,27.297251728206998,46.94951023805014
1543600800,144.938,144.956,144.63,144.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,22.55943348507883,25.206541898498784,42.52925031154386
1543788000,144.705,145.149,144.705,145.033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,28.07283763277704,25.73764963749716,49.707558026843316
1543802400,145.033,145.118,144.905,145.058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,31.488403693962834,27.373558270605262,50.21794418165832
1543816800,145.058,145.516,144.906,144.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,40.68057484946549,33.41393872540082,48.48007156316849
1543831200,144.976,144.992,144.188,144.199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,28.033057618173927,33.400678720533115,35.8277462369396
1543845600,144.199,144.836,144.183,144.772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,28.825182326418133,32.512938264684884,46.844919191556706
1543860000,144.772,144.786,144.55,144.604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,25.532418496191454,27.463552813593537,44.43613182515002
1543874400,144.604,144.624,144.236,144.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,28.60715178794789,27.654917536851524,40.59575458358714
1543888800,144.317,144.392,144.058,144.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.792,145.608,15.158762255722865,23.0994441799531,38.08832719860018
1543903200,144.114,144.764,143.931,144.431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.114,145.608,15.146377456052521,19.637430499906788,43.91404900656011
1543917600,144.431,144.699,144.19,144.276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.05,145.608,19.051060251356727,16.452066654376406,41.840878064548875
1543932000,144.276,144.283,142.848,143.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.05,145.608,24.7922568684113,19.66323152527255,32.58495670053688
1543946400,143.41,143.593,143.2,143.424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143.639,145.608,21.47341155920455,21.772242892989894,32.84359992211587
1543960800,143.424,143.617,143.272,143.564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143.639,145.608,23.163418290854253,23.143028906155735,35.508208419076
1543975200,143.564,143.574,143.301,143.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143.639,145.608,22.588705647176184,22.408511832410696,33.465395454380925
1543989600,143.364,144.034,143.281,143.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,143.639,145.608,26.76161919040464,24.171247709477395,40.702831075439136
